iter	Logloss
0	0.6847329126
1	0.679828382
2	0.6725547895
3	0.667791482
4	0.6620468638
5	0.6547949608
6	0.647529742
7	0.6433926613
8	0.6402634481
9	0.6354541279
10	0.6330620538
11	0.6304615791
12	0.6279711887
13	0.6236939114
14	0.619886147
15	0.6145871948
16	0.6115467518
17	0.608285227
18	0.6054836651
19	0.6037773896
20	0.6007462695
21	0.59575624
22	0.5932517013
23	0.5906671622
24	0.5889383694
25	0.5859725631
26	0.5823496707
27	0.5806975331
28	0.5779246878
29	0.5755339841
30	0.571888708
31	0.5697644766
32	0.5665592323
33	0.5639394816
34	0.5609023216
35	0.5591680947
36	0.5571436147
37	0.5553701069
38	0.5543308807
39	0.5517078302
40	0.5506523353
41	0.5495213199
42	0.5471230263
43	0.5449752615
44	0.5439652866
45	0.5425111087
46	0.5401751788
47	0.5392391968
48	0.5378217132
49	0.5367911249
50	0.5348561901
51	0.5335942053
52	0.5316273991
53	0.5312871684
54	0.5293531707
55	0.5278182743
56	0.5269024107
57	0.5256825026
58	0.5245075567
59	0.5234453775
60	0.5221331594
61	0.5210704347
62	0.5191681195
63	0.5172595654
64	0.5156217866
65	0.5140137797
66	0.5125097956
67	0.5118755378
68	0.5109223253
69	0.5102975172
70	0.5090594128
71	0.5077241757
72	0.5061802828
73	0.5057456922
74	0.5046572388
75	0.50263791
76	0.5019287804
77	0.5014200884
78	0.5004524126
79	0.4993398267
80	0.4976860582
81	0.4966854652
82	0.4955113347
83	0.494472619
84	0.493859145
85	0.4926476217
86	0.491539082
87	0.4906652866
88	0.4899027719
89	0.4889450846
90	0.4880131651
91	0.4872802186
92	0.4865183662
93	0.4858454008
94	0.485108448
95	0.4840646745
96	0.4834091562
97	0.4815230219
98	0.4806589908
99	0.4799119409
100	0.4790475554
101	0.4782914065
102	0.4770421955
103	0.4761884863
104	0.4753111621
105	0.4744422177
106	0.4739300187
107	0.4730374629
108	0.4720833242
109	0.4712221789
110	0.4703479837
111	0.4695633442
112	0.4689887825
113	0.4683308415
114	0.467642803
115	0.4669403416
116	0.4659434547
117	0.4648350832
118	0.4642706857
119	0.4626284467
120	0.4616552446
121	0.4609388696
122	0.4606270714
123	0.4597673883
124	0.4591382122
125	0.4584306589
126	0.4576750448
127	0.4561684333
128	0.4554650797
129	0.4540043508
130	0.4533756151
131	0.4529397112
132	0.4521838726
133	0.4509878425
134	0.4503257302
135	0.4493303637
136	0.448767125
137	0.4478677018
138	0.4469883985
139	0.4461466151
140	0.445584294
141	0.444945856
142	0.4441442598
143	0.4427519193
144	0.4420807171
145	0.4412605343
146	0.4402692979
147	0.4393732225
148	0.4381344655
149	0.4374931669
150	0.4361093977
151	0.4351363092
152	0.4345639103
153	0.4332100213
154	0.4325887451
155	0.4312459299
156	0.4301248343
157	0.4290490465
158	0.4282358073
159	0.4267186911
160	0.4255596252
161	0.4247600596
162	0.4240968769
163	0.4228635903
164	0.4216973191
165	0.4208417782
166	0.4195347557
167	0.4186206558
168	0.4178473929
169	0.4172722857
170	0.4165054891
171	0.4157796396
172	0.4144026605
173	0.4135750105
174	0.41278336
175	0.4117490387
176	0.4110053652
177	0.4100742294
178	0.4093176733
179	0.4085271929
180	0.4076188598
181	0.4066554681
182	0.4059770464
183	0.405140299
184	0.4040501807
185	0.4031854872
186	0.4025633109
187	0.4016946452
188	0.4006958607
189	0.3996809774
190	0.3990329799
191	0.3983440612
192	0.3975211842
193	0.3965270297
194	0.3957080967
195	0.3947761807
196	0.3942247811
197	0.393544057
198	0.392736382
199	0.3917578789
200	0.391065243
201	0.3904639245
202	0.3897380332
203	0.3891716564
204	0.3881408988
205	0.3871478019
206	0.3862122989
207	0.3853201912
208	0.384678495
209	0.3840521222
210	0.3833071983
211	0.3828484777
212	0.3819593597
213	0.3811349506
214	0.3806376042
215	0.3798454778
216	0.3791913085
217	0.3785126729
218	0.3777504576
219	0.3769907186
220	0.376032336
221	0.3750993426
222	0.3741877493
223	0.373633842
224	0.373070788
225	0.3724895275
226	0.3719412893
227	0.3709815085
228	0.3705289863
229	0.3696903073
230	0.3688896883
231	0.3682384081
232	0.3673623197
233	0.3667975194
234	0.3661884782
235	0.3654487516
236	0.364856463
237	0.3644440115
238	0.3637259165
239	0.3632164874
240	0.3627427953
241	0.3623066087
242	0.361835128
243	0.3610446349
244	0.3603820656
245	0.3598437863
246	0.3592046113
247	0.3583223096
248	0.3577929626
249	0.3573960079
250	0.3567574209
251	0.3561660461
252	0.3557709778
253	0.3552638286
254	0.3542768695
255	0.3536349854
256	0.3531669726
257	0.3524614164
258	0.3516669089
259	0.3511637275
260	0.350551849
261	0.3498154161
262	0.349018605
263	0.3484825805
264	0.3480815059
265	0.3474162209
266	0.3468329203
267	0.3461400131
268	0.3458215458
269	0.3452134052
270	0.3447291891
271	0.3442548185
272	0.343588754
273	0.342892764
274	0.3421237815
275	0.3417137746
276	0.34100068
277	0.3404476268
278	0.3397370299
279	0.3390840093
280	0.3387199677
281	0.3382729876
282	0.3376066138
283	0.3369503291
284	0.3361785515
285	0.335479065
286	0.3347987076
287	0.3343448877
288	0.3338715155
289	0.3335049181
290	0.3329067614
291	0.3323764047
292	0.3319154608
293	0.3314309983
294	0.3310333002
295	0.3302269929
296	0.3297545173
297	0.3292647719
298	0.3285803048
299	0.328252773
300	0.327728993
301	0.3273678909
302	0.3268126867
267954371
