iter	Passed	Remaining
0	3	1082
1	7	1098
2	10	1073
3	14	1056
4	17	1069
5	21	1058
6	25	1083
7	29	1080
8	32	1066
9	36	1067
10	42	1133
11	45	1112
12	49	1094
13	52	1081
14	55	1071
15	59	1069
16	62	1058
17	66	1049
18	69	1042
19	74	1053
20	77	1040
21	81	1034
22	87	1068
23	91	1058
24	94	1047
25	97	1038
26	100	1028
27	104	1028
28	107	1018
29	111	1013
30	114	1005
31	117	998
32	122	1003
33	125	996
34	129	989
35	132	985
36	136	982
37	142	990
38	145	983
39	148	977
40	152	972
41	156	971
42	159	966
43	163	959
44	166	952
45	169	947
46	173	942
47	176	937
48	180	934
49	183	929
50	187	925
51	191	922
52	194	919
53	198	915
54	204	921
55	207	916
56	210	910
57	214	905
58	219	908
59	223	903
60	226	898
61	230	894
62	233	888
63	238	889
64	241	884
65	244	879
66	248	874
67	252	873
68	256	868
69	259	864
70	264	862
71	268	860
72	272	857
73	275	853
74	279	849
75	283	846
76	286	842
77	290	837
78	293	832
79	297	828
80	301	827
81	305	823
82	308	818
83	314	819
84	317	815
85	321	810
86	328	814
87	335	818
88	338	814
89	341	808
90	345	804
91	350	802
92	353	798
93	356	793
94	360	788
95	363	783
96	366	778
97	370	774
98	373	768
99	376	764
100	380	761
101	384	756
102	387	752
103	390	748
104	394	743
105	398	740
106	402	737
107	405	732
108	409	728
109	413	725
110	416	720
111	420	716
112	423	712
113	426	707
114	432	707
115	436	703
116	440	699
117	443	695
118	446	691
119	450	686
120	453	682
121	456	677
122	463	678
123	466	674
124	470	669
125	473	665
126	477	661
127	480	657
128	484	652
129	487	648
130	490	644
131	495	641
132	498	637
133	501	632
134	505	629
135	509	625
136	512	621
137	515	616
138	519	612
139	522	608
140	526	604
141	529	600
142	532	595
143	536	592
144	540	588
145	546	587
146	549	583
147	553	579
148	557	575
149	561	573
150	565	569
151	569	565
152	573	561
153	577	558
154	583	557
155	587	553
156	593	552
157	597	548
158	600	543
159	603	539
160	609	537
161	612	533
162	616	529
163	620	525
164	624	522
165	628	518
166	631	514
167	635	510
168	638	506
169	642	502
170	646	499
171	650	495
172	653	491
173	658	488
174	662	484
175	665	480
176	670	477
177	674	473
178	677	469
179	681	465
180	684	461
181	690	458
182	693	454
183	696	450
184	700	446
185	705	443
186	710	440
187	713	436
188	717	432
189	722	429
190	726	425
191	729	421
192	733	418
193	739	415
194	742	411
195	746	407
196	749	403
197	754	399
198	757	395
199	761	391
200	764	387
201	769	384
202	773	381
203	777	377
204	780	373
205	784	369
206	787	365
207	790	361
208	793	356
209	796	352
210	799	348
211	803	344
212	806	340
213	809	336
214	812	332
215	816	328
216	819	324
217	822	320
218	825	316
219	828	312
220	831	308
221	835	304
222	838	300
223	841	296
224	844	292
225	847	288
226	850	284
227	853	280
228	858	277
229	862	273
230	866	270
231	869	266
232	872	262
233	876	258
234	878	254
235	882	250
236	885	246
237	888	242
238	891	238
239	894	234
240	897	230
241	900	226
242	903	223
243	906	219
244	908	215
245	911	211
246	914	207
247	917	203
248	920	199
249	923	195
250	926	191
251	929	188
252	932	184
253	934	180
254	937	176
255	940	172
256	943	168
257	946	165
258	949	161
259	952	157
260	955	153
261	958	149
262	961	146
263	964	142
264	967	138
265	970	134
266	972	131
267	975	127
268	978	123
269	981	119
270	984	116
271	987	112
272	989	108
273	993	105
274	995	101
275	998	97
276	1001	94
277	1004	90
278	1007	86
279	1010	83
280	1014	79
281	1017	75
282	1020	72
283	1023	68
284	1027	64
285	1030	61
286	1033	57
287	1036	54
288	1039	50
289	1042	46
290	1044	43
291	1047	39
292	1050	35
293	1052	32
294	1055	28
295	1058	25
296	1060	21
297	1063	17
298	1066	14
299	1069	10
300	1071	7
301	1074	3
302	1077	0
