ds,close,target,delta,return,return_1d,return_2d,return_3d,return_5d,momentum_aceel,momentum_consistency,vol_3d,vol_10d,vol_regime,open,high,low,rsi_9,rsi_14,rsi_divergence,adx,bb_upper,bb_lower,bb_position,z_score,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatilidade,volatilidade_relativa,ema_5,ema_10,ema_cross,target_lag1,target_lag2,target_lag3,target_lag4,target_lag5,target_lag6,target_lag7,close_lag1,close_lag3,close_lag5,close_lag7,daily_return
2015-06-17,53249,0.0,564.0,0.010613873311001498,0.010613873311001498,0.006635675189322843,0.00024213526048155742,0.01677521963041495,0.0039781981216786555,1,0.009177539377866238,0.012337642078132307,0.7438649394873311,53698,53969.0,53107.0,48.77719603767651,47.33073336649625,-1.4464626711802637,20.24671398085053,55421.082666486036,52203.11733351396,0.3250136524995047,-0.6999453900019823,-454.61798777468357,-443.3122539515876,-11.305733823095977,66.97620429483459,47.63726413612809,862.0,1.016231381927053,53385.967613815774,53471.12997084032,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,53702.0,53348.0,53876.0,52810.0,-0.0084
2015-06-18,54239,1.0,-453.0,-0.008435440020855833,-0.008435440020855833,0.0020889005984416897,-0.0018557396715903618,-0.011637835028584176,-0.010524340619297523,0,0.009956810938962512,0.010057382104605762,0.9900002640252483,53251,53755.0,52965.0,43.754521328412835,44.35667212107073,0.6021507926578948,19.033634800843917,55114.94781293466,52284.252187065336,0.6905538677738792,0.7622154710955175,-448.4285673735576,-444.3355166359816,-4.093050737575993,40.684852002321534,47.30121880441087,790.0,1.014915510242613,53670.31174254385,53610.74270341481,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,53249.0,53138.0,53689.0,52816.0,0.0186
2015-06-19,53749,0.0,990.0,0.01859189843940734,0.01859189843940734,0.0099996275743921,0.020719635665625402,0.010244184097301101,0.008592270865015239,1,0.013886457717325176,0.01103560441075243,1.258332321498861,54236,54352.0,53214.0,55.11734516830795,51.52540703198037,-3.5919381363275775,18.11193114756748,54991.63538533755,52341.36461466245,0.531128894795525,0.12451557918209985,-359.49465033707384,-427.36734337620004,67.8726930391262,93.73614190687361,67.13239940134322,1138.0,1.0213853497199985,53696.5411616959,53635.880393703024,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,54239.0,53702.0,53348.0,53876.0,-0.009
2015-06-22,53864,1.0,-490.0,-0.009034089861538752,-0.009034089861538752,0.009389847696670284,0.0008752001787641905,0.007516682912199091,-0.018423937558209036,0,0.01577989562429237,0.010895913663779408,1.4482397815566832,53750,54236.0,53479.0,49.544147756945094,48.214459515988736,-1.329688240956358,17.259055546555686,54737.63606915405,52459.06393084595,0.6165861705819216,0.4663446823276847,-324.808593965623,-406.85559349408464,82.04699952846164,66.57427937915743,66.99842442945084,757.0,1.0141550889134052,53752.36077446394,53677.35668575702,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,53749.0,53249.0,53138.0,53689.0,0.0021
2015-06-23,53772,0.0,115.0,0.0021395746897616696,0.0021395746897616696,-0.0069138442817898715,0.011549512666904516,0.013662539049267952,0.009053418971551541,0,0.01389679199115237,0.010776205763327265,1.289581165798155,53865,54342.0,53655.0,50.856164764989046,49.04207581925598,-1.8140889457330687,16.46709963133045,54660.090522015205,52485.30947798479,0.591641409394782,0.3665656375791271,-284.7575971621627,-382.4359942277003,97.67839706553758,64.81614996395098,75.04219041666066,687.0,1.012804025719877,53758.90718297596,53694.56456107392,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,53864.0,54239.0,53702.0,53348.0,-0.0017
2015-06-24,53843,1.0,-92.0,-0.0017080053467993794,-0.0017080053467993794,0.0004279149379522451,-0.00861004074558902,0.0013034896279469077,-0.0021359202847516245,0,0.0056763569003340985,0.010827475081713396,0.5242549031510533,53772,54361.0,53772.0,49.693197813965234,48.37599775749577,-1.317200056469467,15.892373111602021,54509.27629284297,52552.423707157024,0.6595163592205804,0.6380654368823214,-257.47254157925636,-357.44330369801156,99.9707621187552,57.808022922636106,63.066150755248145,589.0,1.0109536561779364,53786.93812198398,53721.55282269684,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,53772.0,53749.0,53249.0,53138.0,0.0013
2015-06-25,53176,0.0,71.0,0.0013203897939448872,0.0013203897939448872,-0.0003898707856824224,0.0017488697464138614,0.011155139063644404,0.0017102605796273096,0,0.0020267425901245506,0.008744512958549328,0.2317730672630597,53840,54236.0,53628.0,50.67254243690534,48.952217811301345,-1.7203246256039932,15.390496453669723,54529.06468142604,52553.93531857396,0.3149488297453999,-0.7402046810183982,-227.49738359745243,-331.45411967789977,103.95673608044734,54.83870967741935,59.15429418800212,608.0,1.011337361080033,53583.29208132266,53622.36140038832,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,53843.0,53864.0,54239.0,53702.0,-0.0124
2015-06-26,54017,1.0,-667.0,-0.012387868432293891,-0.012387868432293891,-0.011083835453395863,-0.012772909549977673,-0.019598443924113695,-0.0013040329788980287,0,0.007201238276049285,0.009552060922738397,0.7538936711455589,53181,53840.0,52879.0,42.02592704981279,43.985202877668506,1.9592758278557127,14.622866050884312,54431.91808558597,52545.08191441403,0.7800985099155393,1.1203940396621532,-254.62798764478794,-316.0888932712774,61.46090562648948,20.040485829959515,44.229072810004965,961.0,1.0181735660659241,53727.861387548444,53694.113873045,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,53176.0,53772.0,53749.0,53249.0,0.0158
2015-06-29,53014,0.0,841.0,0.015815405446065967,0.015815405446065967,0.003231617851902735,0.004556274641077218,0.00498613927700986,0.012583787594163232,1,0.014103465766790807,0.010659155447713183,1.3231316342062136,54013,54076.0,53151.0,53.323693939462025,50.76822773185649,-2.5554662076055337,14.555795062313258,54438.595185465536,52542.50481453447,0.24866704282349403,-1.0053318287060222,-205.89409636968048,-294.049933890958,88.15583752127753,76.78812415654521,50.555773221307994,925.0,1.0174032473518841,53489.90759169896,53570.45680521864,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,54017.0,53843.0,53864.0,54239.0,-0.0186
2015-06-30,53081,1.0,-1003.0,-0.018568228520650876,-0.018568228520650876,-0.0030464871370543545,-0.015396616087513748,-0.015780484182385313,-0.015521741383596521,0,0.018329647173530486,0.012330699201447696,1.48650509383754,53014,54013.0,52647.0,42.27118894569787,43.93506811378943,1.6638791680915546,14.053385798543125,54416.24642588806,52590.25357411194,0.2687559403152734,-0.9249762387389058,-245.3772972638908,-284.3154065655446,38.93810930165381,21.411901983663945,39.41350399005619,1366.0,1.0259463977054724,53353.605061132635,53481.46465881525,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,53014.0,53176.0,53772.0,53749.0,0.0013
